transaction_id,customer_id,signup_date,purchase_date,amount,item_category,is_returned
TXN1028,C-2758,2025-10-07,2025-10-22,453.86,Sports,TRUE
TXN1029,C-4517,2025-05-01,2025-05-07,713.82,Beauty,FALSE
TXN1030,C-5160,2025-12-07,2026-01-04,185.13,Automotive,FALSE
TXN1031,C-1844,2025-08-24,2025-08-26,132.36,Beauty,TRUE
TXN1032,C-3561,2025-12-27,2026-01-26,926.26,Beauty,FALSE
TXN1033,C-3296,2025-03-20,2025-04-13,714.81,Apparel,TRUE
TXN1034,C-568,NULL,2025-04-12,707.65,Electronics,FALSE
TXN1035,C-4755,NULL,2025-09-28,285.90,Sports,TRUE
TXN1036,C-1957,2025-12-20,2026-01-09,219.78,Beauty,FALSE
TXN1037,C-438,NULL,2025-04-27,587.21,Apparel,FALSE
TXN1038,C-4112,2025-11-03,2025-11-10,1169.00,Beauty,FALSE
TXN1039,C-2082,2025-02-10,2025-03-03,409.49,Home,FALSE
TXN1040,C-2411,2025-07-10,2025-07-31,102.68,Home,FALSE
TXN1041,C-3626,2025-02-13,2025-03-01,592.87,Automotive,FALSE
TXN1042,C-5425,2025-08-27,2025-09-05,187.35,Automotive,FALSE
TXN1043,C-2535,2025-08-31,2025-09-25,709.81,Beauty,FALSE
TXN1044,C-596,NULL,2025-07-31,1026.62,Home,TRUE
TXN1045,C-4765,2025-06-19,2025-07-05,39.43,Home,TRUE
TXN1046,C-3347,2025-07-21,2025-07-29,761.74,Electronics,FALSE
TXN1047,C-2745,2025-05-17,2025-06-02,203.25,Sports,TRUE
TXN1048,C-1125,2025-10-05,2025-10-17,254.16,Home,TRUE
TXN1049,C-2548,NULL,2025-07-08,620.72,Automotive,FALSE
TXN1050,C-2926,2025-03-23,2025-03-25,218.16,Automotive,TRUE
TXN1051,C-3932,2025-03-22,2025-04-05,686.72,Beauty,FALSE
TXN1052,C-2451,2025-12-26,2025-12-31,924.36,Sports,FALSE
TXN1053,C-4308,2025-09-01,2025-09-20,982.44,Apparel,FALSE
TXN1054,C-5047,2025-11-23,2025-12-17,1073.89,Beauty,TRUE
TXN1055,C-2430,2025-08-08,2025-08-18,30.94,Beauty,TRUE
TXN1056,C-3039,2025-11-16,2025-12-15,855.65,Home,FALSE
TXN1057,C-599,2025-02-11,2025-03-01,957.47,Apparel,FALSE
TXN1058,C-4371,2025-11-25,2025-12-06,269.26,Beauty,FALSE
TXN1059,C-1390,2025-08-19,2025-09-03,98.34,Sports,FALSE
TXN1060,C-4845,2025-01-22,2025-02-07,862.32,Apparel,TRUE
TXN1061,C-293,2025-03-08,2025-04-05,13.80,Beauty,FALSE
TXN1062,C-364,NULL,2025-05-27,1122.21,Automotive,FALSE
TXN1063,C-4343,NULL,2025-06-15,946.79,Automotive,FALSE
TXN1064,C-5433,2025-09-19,2025-10-16,23.81,Electronics,FALSE
TXN1065,C-1270,2025-03-11,2025-03-14,284.06,Electronics,FALSE
TXN1066,C-5788,2025-09-27,2025-09-29,257.84,Automotive,TRUE
TXN1067,C-2723,2025-09-20,2025-10-01,524.65,Electronics,FALSE
TXN1068,C-4476,2025-04-21,2025-04-23,-123.65,Apparel,NULL
TXN1069,C-1806,2025-03-15,2025-04-11,285.95,Sports,TRUE
TXN1070,C-1369,2025-01-10,2025-02-05,507.04,Apparel,TRUE
TXN1071,C-1116,2025-06-21,2025-06-25,333.38,Electronics,TRUE
TXN1072,C-4960,2025-06-26,2025-07-04,1151.56,Automotive,FALSE
TXN1073,C-4078,2025-05-18,2025-05-28,873.00,Automotive,FALSE
TXN1074,C-255,2025-01-22,2025-02-12,352.67,Home,FALSE
TXN1075,C-1713,NULL,2025-10-01,559.77,Sports,FALSE
TXN1076,C-4199,2025-03-14,2025-03-26,461.98,Apparel,FALSE
TXN1077,C-863,2025-09-20,2025-09-25,995.36,Apparel,FALSE
TXN1078,C-1914,NULL,2025-08-21,1068.02,Home,FALSE
TXN1079,C-3772,NULL,2025-07-01,113.89,Apparel,FALSE
TXN1080,C-4929,2024-12-09,2025-01-03,592.69,Apparel,TRUE
TXN1081,C-2412,2025-04-05,2025-04-08,419.02,Sports,FALSE
TXN1082,C-1706,2025-10-29,2025-11-22,1116.57,Apparel,FALSE
TXN1083,C-1364,2025-04-10,2025-04-12,504.09,Automotive,FALSE
TXN1084,C-2585,2025-05-04,2025-05-15,1198.13,Automotive,NULL
TXN1085,C-1984,2025-11-10,2025-12-05,601.18,Beauty,FALSE
TXN1086,C-2836,2025-12-10,2025-12-13,196.69,Sports,FALSE
TXN1087,C-497,2025-06-12,2025-06-12,749.42,Electronics,FALSE
TXN1088,C-3895,2026-01-10,2026-01-12,942.67,Sports,FALSE
TXN1089,C-5095,2024-12-30,2025-01-28,278.46,Apparel,FALSE
TXN1090,C-1779,2025-07-03,2025-07-30,48.38,Electronics,FALSE
TXN1091,C-4811,2025-12-06,2025-12-31,81.22,Beauty,NULL
TXN1092,C-956,2025-03-11,2025-03-15,27.10,Home,TRUE
TXN1093,C-4207,2026-01-16,2026-01-19,905.48,Electronics,FALSE
TXN1094,C-5916,2025-12-23,2025-12-31,1198.77,Automotive,TRUE
TXN1095,C-787,2025-09-22,2025-09-26,677.17,Beauty,FALSE
TXN1096,C-1713,NULL,2025-12-24,438.20,Automotive,TRUE
TXN1097,C-4857,2025-04-19,2025-04-22,951.79,Automotive,TRUE
TXN1098,C-2743,2025-05-28,2025-06-01,531.87,Sports,FALSE
TXN1099,C-2738,2025-05-17,2025-06-11,293.21,Apparel,FALSE
TXN1100,C-1467,2025-12-29,2026-01-19,823.92,Sports,NULL
TXN1101,C-4431,2025-03-25,2025-04-21,529.23,Home,NULL
TXN1102,C-190,2025-12-13,2026-01-06,531.23,Apparel,FALSE
TXN1103,C-3113,2025-01-19,2025-01-28,444.02,Electronics,NULL
TXN1104,C-4777,2025-05-21,2025-06-19,127.33,Apparel,FALSE
TXN1105,C-3866,2026-01-07,2026-01-13,1082.93,Electronics,NULL
TXN1106,C-4475,2025-03-08,2025-03-23,118.60,Beauty,TRUE
TXN1107,C-3114,2025-01-02,2025-01-22,860.63,Apparel,FALSE
TXN1108,C-2777,2025-08-09,2025-09-07,919.73,Beauty,FALSE
TXN1109,C-327,2025-12-27,2026-01-25,168.56,Apparel,FALSE
TXN1110,C-4727,2025-09-15,2025-10-01,236.35,Sports,FALSE
TXN1111,C-3823,2025-02-05,2025-02-08,296.25,Sports,TRUE
TXN1112,C-4198,2025-11-30,2025-12-30,471.11,Home,NULL
TXN1113,C-4355,2025-05-31,2025-06-24,41.19,Beauty,TRUE
TXN1114,C-3273,2025-07-13,2025-08-02,883.72,Automotive,FALSE
TXN1115,C-1854,NULL,2025-09-13,879.94,Home,FALSE
TXN1116,C-4616,2025-03-04,2025-03-11,83.92,Apparel,FALSE
TXN1117,C-2353,2025-05-11,2025-05-17,334.39,Apparel,FALSE
TXN1118,C-5769,2025-04-18,2025-04-22,858.35,Beauty,FALSE
TXN1119,C-1241,2025-08-13,2025-09-07,208.46,Apparel,FALSE
TXN1120,C-5142,NULL,2025-03-29,139.80,Electronics,FALSE
TXN1121,C-2387,2025-09-07,2025-09-20,292.43,Electronics,TRUE
TXN1122,C-4424,2025-11-01,2025-11-21,367.36,Electronics,FALSE
TXN1123,C-4168,2025-07-09,2025-07-26,110.82,Beauty,FALSE
TXN1124,C-1459,2025-02-05,2025-03-06,866.05,Beauty,FALSE
TXN1125,C-5888,2025-01-05,2025-01-12,146.19,Automotive,FALSE
TXN1126,C-1192,2025-07-08,2025-07-11,296.40,Beauty,FALSE
TXN1127,C-3157,2025-06-08,2025-06-24,820.66,Home,FALSE
TXN1128,C-4704,2025-10-29,2025-11-19,908.77,Automotive,TRUE
TXN1129,C-1104,NULL,2026-01-15,1106.39,Electronics,FALSE
TXN1130,C-4099,2025-08-15,2025-08-15,995.58,Beauty,FALSE
TXN1131,C-1618,2025-02-18,2025-02-27,785.77,Beauty,FALSE
TXN1132,C-642,2024-12-30,2025-01-12,340.18,Sports,FALSE
TXN1133,C-3676,2025-10-21,2025-10-25,811.63,Electronics,FALSE
TXN1134,C-4904,2025-01-27,2025-02-10,1182.18,Automotive,FALSE
TXN1135,C-4898,2025-07-22,2025-08-06,986.18,Apparel,TRUE
TXN1136,C-3565,2025-04-06,2025-04-09,612.41,Home,FALSE
TXN1137,C-4562,2024-12-31,2025-01-20,51.73,Apparel,FALSE
TXN1138,C-4160,2025-09-23,2025-10-12,185.09,Sports,FALSE
TXN1139,C-3045,2025-11-21,2025-11-27,690.47,Electronics,FALSE
TXN1140,C-5987,2025-10-16,2025-11-09,521.59,Sports,FALSE
TXN1141,C-1543,2025-11-11,2025-12-04,486.28,Electronics,TRUE
TXN1142,C-1354,2025-03-13,2025-03-23,209.85,Home,NULL
TXN1143,C-3643,2025-02-18,2025-03-15,820.91,Apparel,FALSE
TXN1144,C-961,2025-05-07,2025-05-15,706.57,Apparel,TRUE
TXN1145,C-2612,2025-05-17,2025-06-05,1069.49,Home,TRUE
TXN1146,C-362,2025-12-14,2025-12-29,260.81,Beauty,FALSE
TXN1147,C-4085,2025-02-23,2025-02-26,790.33,Home,NULL
TXN1148,C-4954,2025-10-17,2025-11-15,1135.68,Electronics,FALSE
TXN1149,C-2080,2025-02-22,2025-03-24,175.88,Sports,NULL
TXN1150,C-717,2025-03-23,2025-04-07,149.41,Home,FALSE
TXN1151,C-3222,NULL,2025-07-17,1106.29,Automotive,FALSE
TXN1152,C-4131,2025-04-05,2025-04-07,774.63,Automotive,TRUE
TXN1153,C-4521,2025-05-25,2025-05-27,403.24,Automotive,FALSE
TXN1154,C-2703,NULL,2025-11-22,1162.48,Electronics,NULL
TXN1155,C-1945,2025-07-08,2025-07-14,679.72,Sports,FALSE
TXN1156,C-5627,2025-08-21,2025-09-16,274.47,Beauty,FALSE
TXN1157,C-1985,2025-12-08,2025-12-30,1032.90,Apparel,FALSE
TXN1158,C-3702,2025-04-13,2025-04-28,1075.08,Sports,FALSE
TXN1159,C-2726,2025-07-15,2025-08-01,1148.43,Automotive,FALSE
TXN1160,C-3070,2025-10-08,2025-10-25,1091.56,Electronics,FALSE
TXN1161,C-4370,2025-08-28,2025-09-01,404.76,Beauty,FALSE
TXN1162,C-5523,2025-10-25,2025-10-26,1005.94,Automotive,FALSE
TXN1163,C-2338,2025-10-27,2025-10-30,855.48,Apparel,FALSE
TXN1164,C-2046,NULL,2025-10-09,1029.10,Apparel,NULL
TXN1165,C-2528,2025-03-30,2025-04-26,937.56,Beauty,FALSE
TXN1166,C-3900,2025-11-16,2025-11-21,199.25,Sports,FALSE
TXN1167,C-5103,2025-09-13,2025-09-26,989.01,Sports,FALSE
TXN1168,C-2459,2025-05-31,2025-06-16,1149.51,Automotive,FALSE
TXN1169,C-5407,2025-05-06,2025-05-18,681.55,Sports,FALSE
TXN1170,C-3893,2025-02-14,2025-03-01,30.85,Beauty,FALSE
TXN1171,C-4902,2025-11-01,2025-11-21,746.12,Home,FALSE
TXN1172,C-2033,2025-02-20,2025-03-17,264.27,Beauty,NULL
TXN1173,C-2458,2025-10-03,2025-10-20,1139.17,Sports,FALSE
TXN1174,C-1978,2025-07-28,2025-08-21,663.81,Home,FALSE
TXN1175,C-633,2026-01-16,2026-01-17,-79.79,Home,TRUE
TXN1176,C-4460,2025-07-16,2025-07-18,406.80,Sports,FALSE
TXN1177,C-2156,2025-05-08,2025-05-17,124.59,Sports,FALSE
TXN1178,C-5153,2025-04-11,2025-05-05,521.34,Automotive,FALSE
TXN1179,C-3273,2025-05-27,2025-06-11,-78.71,Apparel,FALSE
TXN1180,C-1583,2025-05-17,2025-06-01,725.42,Beauty,TRUE
TXN1181,C-3111,2025-06-25,2025-06-29,442.40,Home,FALSE
TXN1182,C-3959,2026-02-03,2026-02-05,120.66,Sports,FALSE
TXN1183,C-3649,2025-12-13,2026-01-09,998.09,Electronics,FALSE
TXN1184,C-5512,2025-09-09,2025-09-22,964.44,Beauty,FALSE
TXN1185,C-1890,2025-10-13,2025-10-24,650.67,Electronics,FALSE
TXN1186,C-5468,2025-07-12,2025-07-17,312.23,Beauty,NULL
TXN1187,C-1951,2025-09-17,2025-09-27,303.23,Apparel,TRUE
TXN1188,C-3734,NULL,2025-07-29,1067.69,Home,FALSE
TXN1189,C-3476,NULL,2026-01-19,835.14,Automotive,TRUE
TXN1190,C-5919,2025-07-29,2025-08-09,647.15,Apparel,FALSE
TXN1191,C-3545,2026-01-06,2026-01-08,523.65,Apparel,FALSE
TXN1192,C-2602,2025-11-14,2025-11-19,1183.03,Electronics,FALSE
TXN1193,C-393,2026-01-16,2026-01-24,800.39,Beauty,TRUE
TXN1194,C-1013,2025-01-04,2025-01-05,-78.41,Electronics,NULL
TXN1195,C-350,2025-04-17,2025-05-04,1152.15,Sports,FALSE
TXN1196,C-177,2025-03-23,2025-03-31,366.41,Electronics,TRUE
TXN1197,C-861,2025-01-04,2025-01-28,823.66,Home,FALSE
TXN1198,C-4662,2025-07-06,2025-08-01,453.59,Electronics,FALSE
TXN1199,C-2591,NULL,2025-06-29,-79.51,Electronics,FALSE
TXN1200,C-2093,2025-11-28,2025-12-26,993.05,Electronics,FALSE
TXN1201,C-5679,2024-12-10,2025-01-04,384.08,Beauty,FALSE
TXN1202,C-1532,2025-06-05,2025-06-16,1192.98,Apparel,FALSE
TXN1203,C-2101,2025-01-28,2025-02-23,1010.75,Electronics,NULL
TXN1204,C-3516,2025-12-17,2026-01-01,929.86,Sports,TRUE
TXN1205,C-5095,2025-04-04,2025-04-11,562.74,Apparel,FALSE
TXN1206,C-2736,NULL,2025-12-02,516.74,Apparel,FALSE
TXN1207,C-4852,2025-11-15,2025-11-20,1069.86,Home,TRUE
TXN1208,C-1244,NULL,2025-12-23,200.24,Apparel,FALSE
TXN1209,C-1259,2025-11-25,2025-12-15,1169.93,Sports,FALSE
TXN1210,C-723,2025-06-19,2025-07-17,1014.29,Electronics,FALSE
TXN1211,C-4193,2025-04-08,2025-04-14,-96.48,Automotive,TRUE
TXN1212,C-1189,2025-04-03,2025-04-05,296.09,Electronics,TRUE
TXN1213,C-5834,2025-09-02,2025-09-24,82.16,Home,TRUE
TXN1214,C-3387,NULL,2025-05-23,1059.68,Automotive,FALSE
TXN1215,C-542,2025-02-04,2025-02-16,1025.27,Home,FALSE
TXN1216,C-5835,2026-01-18,2026-01-20,920.24,Electronics,TRUE
TXN1217,C-4433,2025-06-19,2025-07-08,1013.18,Beauty,NULL
TXN1218,C-5812,2025-01-23,2025-02-16,210.10,Beauty,FALSE
TXN1219,C-3053,2025-06-15,2025-06-20,649.28,Automotive,TRUE
TXN1220,C-692,2026-01-02,2026-01-18,227.58,Sports,FALSE
TXN1221,C-3031,2025-07-16,2025-07-21,1068.97,Home,FALSE
TXN1222,C-5426,2025-01-27,2025-02-07,-107.30,Apparel,FALSE
TXN1223,C-3910,2025-05-25,2025-06-13,1066.74,Beauty,FALSE
TXN1224,C-3811,2025-12-07,2026-01-02,289.52,Apparel,FALSE
TXN1225,C-3577,2026-01-02,2026-01-26,431.55,Beauty,FALSE
TXN1226,C-200,2025-08-02,2025-08-11,333.29,Automotive,FALSE
TXN1227,C-2356,2025-02-02,2025-02-24,31.10,Home,FALSE
TXN1228,C-4320,2025-11-15,2025-11-25,345.99,Electronics,FALSE
TXN1229,C-507,2025-05-10,2025-05-20,412.55,Apparel,FALSE
TXN1230,C-1927,NULL,2025-02-14,179.53,Electronics,TRUE
TXN1231,C-4084,2025-04-26,2025-05-17,1134.07,Apparel,FALSE
TXN1232,C-5395,2025-04-20,2025-04-26,514.09,Automotive,TRUE
TXN1233,C-800,2025-10-01,2025-10-03,1063.14,Sports,FALSE
TXN1234,C-5943,2025-06-12,2025-06-15,747.83,Sports,FALSE
TXN1235,C-1445,2025-10-19,2025-11-11,737.97,Electronics,FALSE
TXN1236,C-4155,2025-02-05,2025-02-26,175.79,Apparel,TRUE
TXN1237,C-1208,2025-01-22,2025-02-08,793.52,Automotive,FALSE
TXN1238,C-3748,2025-09-22,2025-09-30,-82.00,Sports,FALSE
TXN1239,C-2982,2024-12-09,2025-01-02,921.58,Apparel,FALSE
TXN1240,C-3438,2025-09-10,2025-10-07,205.22,Electronics,FALSE
TXN1241,C-5547,2024-12-18,2025-01-11,1018.57,Electronics,FALSE
TXN1242,C-312,2025-12-01,2025-12-26,792.02,Apparel,FALSE
TXN1243,C-2980,2025-08-09,2025-08-21,528.73,Sports,FALSE
TXN1244,C-3989,2025-07-14,2025-08-03,708.46,Automotive,FALSE
TXN1245,C-2682,2025-01-18,2025-01-23,1090.82,Automotive,FALSE
TXN1246,C-4207,2025-04-16,2025-05-06,805.32,Apparel,FALSE
TXN1247,C-3557,2025-01-13,2025-01-20,971.68,Electronics,TRUE
TXN1248,C-5350,2026-01-10,2026-01-19,-104.38,Beauty,FALSE
TXN1249,C-4704,NULL,2025-08-10,563.84,Sports,FALSE
TXN1250,C-3414,2025-06-23,2025-07-18,319.48,Home,FALSE
TXN1251,C-5699,NULL,2025-10-20,75.21,Beauty,FALSE
TXN1252,C-235,2025-05-17,2025-06-10,601.16,Sports,FALSE
TXN1253,C-4275,2025-03-02,2025-03-23,247.14,Home,FALSE
TXN1254,C-5876,2026-01-18,2026-02-04,400.95,Home,FALSE
TXN1255,C-610,2025-04-22,2025-04-28,549.58,Sports,FALSE
TXN1256,C-932,2025-07-21,2025-07-25,1107.57,Home,FALSE
TXN1257,C-2895,2025-08-05,2025-08-31,-53.52,Apparel,FALSE
TXN1258,C-2669,2025-12-02,2025-12-04,782.11,Automotive,FALSE
TXN1259,C-2942,2025-08-10,2025-08-24,239.24,Electronics,FALSE
TXN1260,C-2817,2025-02-14,2025-02-19,266.01,Beauty,NULL
TXN1261,C-5458,2025-10-28,2025-11-09,419.87,Sports,FALSE
TXN1262,C-3496,2025-02-13,2025-03-07,27.98,Electronics,NULL
TXN1263,C-2254,2025-10-23,2025-11-12,868.54,Apparel,FALSE
TXN1264,C-1013,2025-01-20,2025-02-15,315.86,Electronics,FALSE
TXN1265,C-4470,2025-09-25,2025-09-26,137.35,Automotive,TRUE
TXN1266,C-1528,2025-02-06,2025-02-26,517.13,Beauty,NULL
TXN1267,C-4605,2025-01-23,2025-02-01,442.83,Beauty,FALSE
TXN1268,C-4348,2026-01-04,2026-01-18,945.81,Automotive,FALSE
TXN1269,C-4278,2025-03-31,2025-04-23,417.47,Apparel,FALSE
TXN1270,C-4527,2025-04-07,2025-04-09,1137.69,Apparel,TRUE
TXN1271,C-5950,2025-09-17,2025-10-06,791.24,Home,FALSE
TXN1272,C-4842,2026-01-14,2026-01-31,927.19,Home,FALSE
TXN1273,C-4086,2025-10-04,2025-10-11,-30.59,Apparel,TRUE
TXN1274,C-950,2025-06-23,2025-07-02,863.37,Beauty,FALSE
TXN1275,C-3829,2025-01-04,2025-01-31,1072.91,Electronics,FALSE
TXN1276,C-6025,NULL,2025-02-07,266.20,Sports,FALSE
TXN1277,C-1784,2025-03-02,2025-03-21,736.70,Home,FALSE
TXN1278,C-5974,2025-01-11,2025-01-24,638.35,Apparel,FALSE
TXN1279,C-3825,2025-09-12,2025-10-05,704.30,Sports,TRUE
TXN1280,C-4944,2025-02-19,2025-03-10,90.54,Electronics,TRUE
TXN1281,C-1121,2025-03-31,2025-04-06,1059.91,Beauty,TRUE
TXN1282,C-2097,2025-12-23,2026-01-13,657.85,Sports,NULL
TXN1283,C-2415,2025-01-28,2025-02-15,501.55,Automotive,FALSE
TXN1284,C-5048,2025-08-05,2025-08-31,387.41,Sports,TRUE
TXN1285,C-1037,NULL,2025-02-26,531.01,Beauty,FALSE
TXN1286,C-3975,2025-07-15,2025-08-06,649.79,Beauty,FALSE
TXN1287,C-1853,2025-01-03,2025-02-01,447.66,Home,FALSE
TXN1288,C-5559,2025-07-03,2025-07-21,946.51,Automotive,FALSE
TXN1289,C-2310,2025-03-25,2025-04-23,409.58,Home,FALSE
TXN1290,C-5345,2024-12-15,2025-01-06,511.37,Beauty,TRUE
TXN1291,C-2747,2025-03-30,2025-04-26,988.91,Automotive,FALSE
TXN1292,C-5964,2025-04-27,2025-05-25,1167.30,Home,FALSE
TXN1293,C-787,2025-04-18,2025-05-15,268.63,Apparel,FALSE
TXN1294,C-4614,2025-12-17,2025-12-23,836.72,Sports,FALSE
TXN1295,C-4294,2025-07-21,2025-07-26,1060.70,Apparel,FALSE
TXN1296,C-1685,2025-09-14,2025-10-08,704.94,Apparel,TRUE
TXN1297,C-4305,2025-07-06,2025-07-25,1157.07,Home,FALSE
TXN1298,C-5907,2025-05-21,2025-05-24,1158.74,Sports,TRUE
TXN1299,C-4367,NULL,2025-02-08,650.42,Apparel,FALSE
TXN1300,C-110,2025-12-15,2026-01-02,1156.05,Apparel,TRUE
TXN1301,C-3301,2025-08-10,2025-08-15,395.94,Beauty,FALSE
TXN1302,C-3895,2025-02-09,2025-03-01,1072.96,Beauty,TRUE
TXN1303,C-961,2025-11-01,2025-11-06,630.20,Home,FALSE
TXN1304,C-3643,2025-04-11,2025-04-21,923.79,Automotive,FALSE
TXN1305,C-5577,2025-03-17,2025-04-16,478.59,Apparel,FALSE
TXN1306,C-3540,2025-04-20,2025-05-01,47.70,Home,FALSE
TXN1307,C-1626,2025-10-14,2025-10-31,1018.29,Home,FALSE
TXN1308,C-3318,2025-08-13,2025-08-13,1163.37,Beauty,FALSE
TXN1309,C-544,NULL,2026-01-04,403.78,Home,FALSE
TXN1310,C-1319,2025-01-08,2025-01-31,720.56,Automotive,FALSE
TXN1311,C-2859,2026-01-03,2026-02-01,280.93,Apparel,FALSE
TXN1312,C-1911,2025-08-30,2025-09-03,1013.23,Sports,FALSE
TXN1313,C-989,2025-01-22,2025-02-12,349.54,Beauty,FALSE
TXN1314,C-4469,2025-01-29,2025-02-18,36.32,Home,NULL
TXN1315,C-2804,2025-08-24,2025-08-30,73.59,Automotive,TRUE
TXN1316,C-1521,2025-05-25,2025-06-04,1120.49,Automotive,FALSE
TXN1317,C-1409,2025-07-29,2025-08-10,38.78,Beauty,FALSE
TXN1318,C-6027,NULL,2025-07-13,836.88,Automotive,FALSE
TXN1319,C-4010,2025-06-14,2025-06-23,552.53,Electronics,TRUE
TXN1320,C-1397,2025-07-01,2025-07-20,634.28,Beauty,FALSE
TXN1321,C-1201,NULL,2025-03-06,106.99,Sports,TRUE
TXN1322,C-4315,2025-07-29,2025-08-17,742.81,Apparel,FALSE
TXN1323,C-6002,2025-02-22,2025-03-17,948.93,Beauty,FALSE
TXN1324,C-3904,2025-04-22,2025-05-16,554.83,Apparel,FALSE
TXN1325,C-1618,2025-07-27,2025-08-20,1010.96,Sports,FALSE
TXN1326,C-3758,2024-12-06,2025-01-04,515.41,Electronics,FALSE
TXN1327,C-2138,2024-12-27,2025-01-23,129.69,Apparel,NULL
TXN1328,C-4159,2025-10-12,2025-11-04,166.65,Automotive,TRUE
TXN1329,C-5537,2025-02-25,2025-03-18,-26.24,Apparel,FALSE
TXN1330,C-5162,2025-10-08,2025-10-28,580.43,Home,FALSE
TXN1331,C-2104,NULL,2025-09-08,1056.60,Automotive,TRUE
TXN1332,C-1297,2025-05-20,2025-05-23,716.21,Beauty,FALSE
TXN1333,C-2604,2025-05-03,2025-05-06,440.22,Sports,FALSE
TXN1334,C-2991,2025-04-07,2025-04-07,616.19,Beauty,FALSE
TXN1335,C-5157,2025-06-15,2025-06-15,1067.97,Sports,FALSE
TXN1336,C-939,2025-09-20,2025-10-14,740.81,Electronics,FALSE
TXN1337,C-1483,2025-11-08,2025-11-16,790.55,Apparel,FALSE
TXN1338,C-2625,2025-04-24,2025-05-08,844.32,Home,FALSE
TXN1339,C-6040,2025-12-16,2025-12-19,300.11,Beauty,TRUE
TXN1340,C-3223,2025-12-01,2025-12-16,299.79,Electronics,FALSE
TXN1341,C-1580,2024-12-10,2025-01-09,896.40,Beauty,FALSE
TXN1342,C-2140,NULL,2026-01-30,1114.09,Apparel,TRUE
TXN1343,C-2474,NULL,2025-03-30,201.06,Electronics,FALSE
TXN1344,C-5338,2025-01-08,2025-01-28,527.76,Electronics,TRUE
TXN1345,C-856,2025-01-10,2025-01-24,295.45,Apparel,FALSE
TXN1346,C-1480,2025-07-04,2025-07-23,106.49,Home,FALSE
TXN1347,C-3595,2025-07-07,2025-07-13,-143.70,Electronics,FALSE
TXN1348,C-611,2025-09-20,2025-09-24,1096.70,Sports,FALSE
TXN1349,C-4282,2024-12-23,2025-01-17,1000.36,Apparel,FALSE
TXN1350,C-2916,NULL,2025-07-25,140.12,Automotive,FALSE
TXN1351,C-2896,2025-03-08,2025-03-23,203.79,Sports,FALSE
TXN1352,C-791,2025-02-28,2025-03-14,982.98,Automotive,FALSE
TXN1353,C-5310,2025-01-12,2025-01-31,195.09,Electronics,FALSE
TXN1354,C-3329,2025-08-27,2025-09-10,1116.79,Electronics,FALSE
TXN1355,C-4354,2025-10-08,2025-10-14,19.93,Automotive,TRUE
TXN1356,C-3604,2026-01-03,2026-01-21,922.57,Beauty,FALSE
TXN1357,C-497,2025-01-20,2025-01-30,579.64,Electronics,FALSE
TXN1358,C-3815,NULL,2025-10-04,340.38,Apparel,NULL
TXN1359,C-2429,2025-07-08,2025-07-22,1166.76,Automotive,FALSE
TXN1360,C-166,2025-05-25,2025-06-20,898.07,Sports,TRUE
TXN1361,C-2283,2025-12-19,2026-01-02,245.46,Home,FALSE
TXN1362,C-1236,2025-07-14,2025-08-06,585.68,Sports,NULL
TXN1363,C-5672,2025-11-28,2025-12-19,308.35,Beauty,FALSE
TXN1364,C-4194,2025-11-28,2025-12-07,997.35,Sports,FALSE
